Name of Video,Name Of Reading,Mini Value,Max Value,Range,Readings Taken Date

Saif test upload,NeckLateralFlexion,0,0,0,12/5/2024 7:47:51 PM

Saif test upload,NeckRotation,0,0,0,12/5/2024 7:47:51 PM

Saif testing db publishing,NeckLateralFlexion,0,6.9,6.9,11/28/2024 5:20:42 PM

Saif testing db publishing,NeckRotation,0,14.3,14.3,11/28/2024 5:20:42 PM

Saif testing db publishing,ElbowLeftFlexion,138.31,160.47,22.16,11/28/2024 5:20:42 PM

Saif testing db publishing,ElbowRightFlexion,149.01,171.19,22.18,11/28/2024 5:20:42 PM

Saif testing db publishing,ShoulderLeftAbduction,12.52,43.41,30.89,11/28/2024 5:20:42 PM

Saif testing db publishing,ShoulderRightAbduction,3.49,99.4,95.91,11/28/2024 5:20:42 PM

Saif testing db publishing,ShoulderLeftRotation,-74.44,-61.76,12.68,11/28/2024 5:20:42 PM

Saif testing db publishing,ShoulderRightRotation,0.25,13.95,13.7,11/28/2024 5:20:42 PM

Saif testing db publishing,ShoulderLeftFlexion,86.31,112.68,26.37,11/28/2024 5:20:42 PM

Saif testing db publishing,ShoulderRightFlexion,99.79,150.16,50.37,11/28/2024 5:20:42 PM
